Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,AgeGroup,VehiclePrice_Cat,Fraud
7,3,4,13,1,5,8,3,0,1,32,1,0,0,1,9341,3,400,4,4,4,0,5,0,0,0,3,0,1,1,0,-1.0,1,0
11,2,5,0,0,2,12,3,1,1,61,0,6,2,5,2291,14,400,4,1,3,3,7,0,0,0,0,0,1,0,0,-1.0,2,0
1,5,4,13,1,1,12,2,1,1,49,1,0,0,1,14339,4,400,3,4,4,0,7,0,0,0,1,0,1,2,0,-1.0,1,0
2,4,2,13,1,7,3,5,1,1,52,0,2,1,1,14854,10,400,4,4,4,3,7,0,0,0,6,0,1,2,2,-1.0,1,0
2,1,3,6,1,7,3,2,1,2,26,0,2,1,1,5726,15,400,1,4,4,1,6,0,0,0,6,0,1,0,2,-1.0,1,0
7,1,6,13,1,7,8,1,1,2,35,0,2,1,2,8809,3,400,2,4,4,5,5,0,0,0,0,0,1,1,2,-1.0,1,0
8,2,6,9,1,7,9,3,1,1,73,1,2,1,1,9910,3,400,4,4,4,3,7,0,0,0,6,0,1,1,2,-1.0,1,0
5,2,5,13,1,6,6,3,1,1,37,1,1,0,2,12362,9,400,2,4,4,3,6,0,0,0,6,0,1,2,1,-1.0,1,0
6,1,2,13,1,5,7,2,0,1,30,1,0,0,0,11509,10,400,2,4,4,0,6,0,0,0,0,4,2,2,0,-1.0,0,0
10,1,5,13,1,5,11,1,1,1,71,1,0,0,0,12560,16,400,3,4,4,3,6,0,0,0,1,0,1,2,0,-1.0,0,0
8,3,1,17,1,7,9,3,1,2,34,0,2,1,2,705,4,400,4,4,4,3,5,0,0,0,0,0,1,0,2,-1.0,1,0
6,3,0,9,1,6,7,3,1,1,29,0,1,0,1,4150,15,400,2,4,4,1,6,0,0,0,0,0,1,0,1,-1.0,1,0
9,4,5,2,1,1,10,4,1,1,37,0,0,0,5,8107,9,400,4,4,4,0,5,0,0,0,0,4,2,1,0,-1.0,2,0
3,3,1,17,1,7,4,3,1,2,21,0,1,0,0,5129,9,400,4,4,4,3,4,0,0,0,0,0,1,0,1,-1.0,0,0
8,3,3,17,1,2,9,3,0,1,30,1,1,0,2,8375,9,400,2,4,4,1,5,0,0,0,1,0,1,1,1,-1.0,1,0
11,4,3,17,1,5,10,1,1,1,32,0,1,0,1,10254,16,400,2,4,4,1,5,0,0,0,6,0,1,1,1,-1.0,1,0
6,5,4,13,1,1,6,1,1,2,47,0,0,0,2,9053,3,700,1,4,4,3,7,0,0,0,0,0,1,1,0,-1.0,1,0
8,3,0,2,0,2,9,4,1,1,45,1,1,0,5,3128,2,400,2,4,4,0,6,0,0,0,0,0,1,0,1,-1.0,2,0
6,3,2,17,1,2,7,3,1,1,42,0,0,0,0,11017,3,500,3,4,4,1,7,0,0,0,0,2,1,1,0,-1.0,0,0
2,2,1,9,1,5,3,3,1,2,21,1,1,0,1,3379,4,400,2,4,4,3,4,0,0,0,0,0,1,0,1,-1.0,1,0
6,4,3,13,1,6,6,1,0,1,45,0,2,1,2,14179,16,500,3,4,4,3,6,0,0,0,3,2,1,2,2,-1.0,1,0
0,1,3,9,1,2,1,1,1,1,64,0,1,0,1,11867,14,400,1,4,4,3,7,0,0,0,6,0,1,2,1,-1.0,1,0
2,5,2,18,1,7,5,1,1,1,49,0,1,0,5,257,5,400,3,4,4,1,7,0,0,0,6,0,1,0,1,-1.0,2,0
6,4,6,13,1,1,7,4,1,1,27,0,2,1,1,52,4,500,3,4,4,3,5,0,0,0,3,2,1,0,2,-1.0,1,0
6,5,6,6,1,2,6,2,1,2,33,0,2,1,1,3851,15,400,3,4,4,3,5,0,0,0,3,0,1,0,2,-1.0,1,0
6,3,0,6,1,6,6,3,1,1,51,0,0,0,5,12472,3,400,3,4,4,0,0,0,0,0,0,0,1,2,0,-1.0,2,0
3,2,6,13,1,5,4,2,0,1,29,1,0,0,0,46,8,400,3,4,4,3,4,0,0,0,0,0,1,0,0,-1.0,0,0
3,2,6,13,1,2,4,2,1,1,48,0,0,0,2,13563,13,400,2,4,4,3,7,1,1,0,0,0,1,2,0,-1.0,1,0
1,4,0,9,1,7,2,5,1,1,30,0,6,2,5,1490,10,400,4,4,4,3,5,0,0,0,6,0,1,0,0,-1.0,2,0
7,3,6,9,1,7,8,3,1,2,33,0,2,1,1,12651,1,400,3,4,4,3,6,0,0,0,6,0,1,2,2,-1.0,1,0
8,1,5,17,1,7,9,1,0,2,35,0,2,1,1,6639,13,400,2,4,4,5,5,0,0,0,0,0,1,1,2,-1.0,1,0
0,1,2,9,1,1,1,5,0,2,35,0,2,1,1,4706,5,400,3,4,4,3,4,0,0,0,1,0,1,0,2,-1.0,1,0
10,1,5,13,1,1,11,2,1,1,31,0,1,0,1,312,11,400,4,4,4,0,6,0,0,0,3,0,1,0,1,-1.0,1,0
7,5,1,2,1,2,8,5,1,1,55,1,2,1,2,7611,14,400,2,4,4,5,7,0,0,0,6,0,1,1,2,-1.0,1,0
