Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,AgeGroup,VehiclePrice_Cat,Fraud
3,4,0,0,0,1,7,3,1,1,59,1,6,2,5,12428,8,400,4,4,4,1,4,0,0,0,1,0,1,2,0,-1.0,2,0
1,1,6,9,1,1,2,2,1,1,37,0,6,2,5,3451,12,400,3,4,4,3,6,0,0,0,1,0,1,0,0,-1.0,2,0
8,3,0,2,1,6,7,1,1,2,39,0,2,1,1,5012,4,400,3,4,4,3,5,0,0,0,3,0,1,0,2,-1.0,1,0
4,1,3,9,1,6,5,1,0,1,39,0,2,1,1,1858,16,400,3,4,4,1,6,0,0,0,6,0,1,0,2,-1.0,1,0
3,4,4,17,1,1,4,4,1,2,29,1,1,0,1,1456,7,400,3,4,4,1,6,0,0,0,0,0,1,0,1,-1.0,1,0
2,4,1,2,1,7,3,4,1,1,49,0,2,1,1,13353,4,400,3,4,4,1,6,0,0,0,0,0,1,2,2,-1.0,1,0
10,1,4,2,1,1,11,1,1,1,54,1,0,0,2,12838,7,400,4,4,4,0,7,0,0,0,0,0,1,2,0,-1.0,1,0
9,2,1,2,1,2,10,2,1,2,26,0,2,1,2,7389,10,400,1,4,4,3,3,0,0,0,0,0,1,1,2,-1.0,1,0
4,3,5,6,1,6,5,3,1,1,33,1,0,0,2,12174,12,400,1,4,4,1,5,0,0,0,3,0,1,2,0,-1.0,1,0
7,1,4,6,1,5,8,1,1,2,29,0,1,0,1,10671,12,400,2,4,4,3,5,0,0,0,6,0,1,1,1,-1.0,1,0
11,2,0,0,1,2,11,1,1,1,50,0,6,2,5,1059,4,400,3,4,4,1,7,0,0,0,0,0,1,0,0,-1.0,2,0
5,2,3,2,1,6,6,2,1,1,53,0,2,1,2,890,6,400,4,4,4,5,6,0,0,0,6,0,1,0,2,-1.0,1,0
3,4,4,17,0,1,8,2,1,1,28,1,0,0,1,7078,10,400,2,4,4,3,6,0,0,0,6,4,2,1,0,-1.0,1,0
8,1,4,17,1,1,9,1,1,1,34,1,1,0,1,3371,13,400,3,4,4,3,5,0,0,0,0,0,1,0,1,-1.0,1,0
4,4,5,5,1,7,5,4,1,1,42,0,6,2,5,35,12,400,1,4,4,3,6,0,0,0,0,0,1,0,0,-1.0,2,0
4,4,3,17,1,4,5,4,1,2,29,0,0,0,1,5344,7,400,3,4,4,1,4,0,0,0,0,0,1,0,0,-1.0,1,0
8,5,5,9,1,6,9,5,1,1,64,0,2,1,1,14950,12,400,3,4,4,3,6,0,0,0,6,0,1,2,2,-1.0,1,0
4,4,1,13,1,1,5,4,0,1,35,1,1,0,1,11785,13,400,2,4,4,3,5,0,0,0,6,0,1,2,1,-1.0,1,0
1,4,1,0,0,5,12,1,1,1,44,0,1,0,2,982,15,400,1,4,4,0,6,0,0,0,0,0,1,0,1,-1.0,1,0
6,3,3,9,1,6,7,4,0,2,30,1,2,1,1,10752,16,400,1,4,4,3,5,0,0,0,0,0,1,1,2,-1.0,1,0
5,1,2,6,1,6,2,2,1,1,45,0,2,1,1,11819,6,400,3,4,4,3,6,0,0,0,0,0,1,2,2,-1.0,1,0
3,2,5,9,1,7,4,2,1,1,41,0,1,0,0,6940,10,400,2,4,4,1,6,0,0,0,0,0,1,1,1,-1.0,0,0
6,2,0,13,1,1,7,3,1,1,58,0,1,0,1,10522,11,400,4,4,4,0,7,0,0,0,6,4,2,1,1,-1.0,1,0
8,2,4,13,1,1,9,2,1,1,38,0,2,1,1,12146,11,400,4,4,4,3,6,0,0,0,0,0,1,2,2,-1.0,1,0
2,3,0,6,1,6,3,3,1,1,31,1,1,0,2,8054,11,400,3,4,4,0,5,0,0,0,1,0,1,1,1,-1.0,1,0
9,2,0,9,1,1,10,4,0,2,35,0,2,1,1,6015,16,400,3,4,4,5,4,0,0,0,1,0,1,0,2,-1.0,1,0
4,4,5,13,1,6,1,1,1,1,27,0,1,0,2,828,14,400,1,4,4,1,6,0,0,0,0,0,1,0,1,-1.0,1,1
1,5,3,17,0,2,2,5,0,1,27,0,0,0,5,9897,2,400,2,4,4,3,6,0,0,0,1,0,1,1,0,-1.0,2,0
0,4,0,17,1,6,1,4,1,1,39,1,0,0,0,3038,9,400,3,4,4,3,6,0,0,0,1,0,1,0,0,-1.0,0,0
5,5,2,0,1,5,2,1,1,2,30,0,2,1,2,10902,11,400,1,4,4,3,5,0,0,0,0,0,1,1,2,-1.0,1,0
