Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,AgeGroup,VehiclePrice_Cat,Fraud
0,4,0,13,1,1,7,3,1,2,25,0,0,0,1,3054,6,400,4,4,4,0,2,0,0,0,0,0,1,0,0,-1.0,1,1
11,2,0,6,1,7,12,4,1,1,53,0,0,0,0,14472,4,400,2,4,4,0,7,0,0,0,1,0,1,2,0,-1.0,0,1
10,1,1,2,1,7,11,1,1,1,30,0,1,0,1,6869,5,400,1,4,4,0,5,0,0,0,0,0,1,1,1,-1.0,1,1
0,1,6,2,0,7,9,1,1,1,54,0,1,0,5,11297,12,400,2,4,4,1,7,0,0,0,1,0,1,1,1,-1.0,2,1
1,1,5,13,0,5,2,2,1,1,37,0,0,0,1,5474,4,400,2,4,4,1,4,0,0,0,0,0,1,0,0,-1.0,1,1
5,2,4,2,1,5,6,5,1,1,40,0,6,2,5,4944,12,400,1,4,4,3,6,0,0,0,1,0,1,0,0,-1.0,2,1
0,2,1,0,1,7,1,4,1,1,50,0,1,0,3,11448,10,400,4,4,4,3,7,0,0,0,1,0,1,2,1,-1.0,2,1
1,5,3,6,1,2,2,5,1,2,19,0,4,1,5,5980,6,400,1,4,4,0,4,0,0,0,0,0,1,0,1,-1.0,2,1
2,1,4,17,1,1,3,1,1,1,44,0,2,1,5,8335,11,400,2,4,4,3,6,0,0,0,3,0,1,1,2,-1.0,2,1
11,1,1,6,0,6,12,1,1,2,17,0,4,1,5,6178,13,400,3,4,4,0,2,0,0,0,0,0,1,1,1,-1.0,2,1
6,2,0,13,1,6,7,3,1,2,34,0,1,0,1,4396,12,400,4,4,4,3,5,0,0,0,1,0,1,0,1,-1.0,1,1
3,1,2,6,1,2,4,3,1,2,0,0,0,0,5,1073,3,400,1,4,4,5,0,0,0,0,0,0,1,0,0,-1.0,2,1
11,4,0,6,1,6,12,4,1,2,32,0,4,1,5,6604,8,400,1,4,4,0,5,0,0,0,6,0,1,1,1,-1.0,2,1
7,4,3,2,1,7,1,1,1,2,32,0,0,0,3,11070,8,400,1,2,3,1,5,0,0,0,0,0,1,1,0,-1.0,2,1
4,2,2,9,1,2,5,2,1,1,40,0,0,0,3,9128,4,400,3,4,4,3,7,0,0,0,0,0,1,1,0,-1.0,2,1
0,3,3,17,1,2,7,4,1,1,31,0,1,0,0,11584,7,400,4,4,4,0,5,0,0,0,0,0,1,2,1,-1.0,0,1
