Month,WeekOfMonth,DayOfWeek,Make,AccidentArea,DayOfWeekClaimed,MonthClaimed,WeekOfMonthClaimed,Sex,MaritalStatus,Age,Fault,PolicyType,VehicleCategory,VehiclePrice,PolicyNumber,RepNumber,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy,AgeGroup,VehiclePrice_Cat,Fraud
11,4,0,9,1,7,12,5,1,2,18,0,1,0,1,6595,8,400,1,4,4,5,1,0,0,0,6,4,2,1,1,-1.0,1,1
6,3,5,2,1,5,7,4,1,1,37,0,1,0,1,13096,8,400,3,4,4,1,5,0,0,0,0,0,1,2,1,-1.0,1,1
9,3,2,16,1,1,3,1,1,1,30,0,0,0,1,8105,1,400,1,4,4,3,6,0,0,0,0,0,1,1,0,-1.0,1,1
4,2,6,2,1,2,5,3,1,1,32,0,0,0,1,9247,2,400,3,4,4,0,5,0,0,0,0,0,1,1,0,-1.0,1,1
11,4,3,13,1,7,12,5,1,1,29,0,0,0,5,6662,2,400,4,4,4,0,5,0,0,0,6,0,1,1,0,-1.0,2,1
0,4,6,6,1,6,9,1,1,2,0,0,0,0,5,3173,3,400,1,4,4,0,0,0,0,0,0,0,1,0,0,-1.0,2,1
10,4,3,17,1,2,11,4,0,3,26,0,1,0,1,15144,6,400,4,4,4,1,3,0,0,0,1,0,1,2,1,-1.0,1,1
1,1,3,6,1,1,2,3,1,1,53,0,1,0,1,13943,1,400,4,4,4,0,7,0,0,0,6,0,1,2,1,-1.0,1,1
0,2,6,2,1,1,1,3,1,1,37,0,1,0,5,2821,12,400,2,4,4,0,7,0,0,0,0,0,1,0,1,-1.0,2,1
9,2,3,13,1,2,10,3,1,1,35,1,0,0,1,8314,11,500,4,4,4,0,5,0,0,0,0,2,1,1,0,-1.0,1,1
0,5,2,6,1,1,9,1,1,1,27,0,1,0,1,11902,10,400,2,4,4,3,5,0,0,0,1,0,1,2,1,-1.0,1,1
8,1,6,6,1,1,9,2,1,2,20,0,4,1,5,3335,6,400,2,4,4,0,2,0,0,0,0,0,1,0,1,-1.0,2,1
4,3,0,17,1,6,5,4,1,1,27,0,1,0,1,9434,6,400,3,4,4,0,5,0,0,0,1,0,1,1,1,-1.0,1,1
4,1,3,6,1,2,5,1,1,2,22,0,4,1,5,9038,8,400,1,4,4,0,4,0,0,0,0,0,1,1,1,-1.0,2,1
7,5,6,13,1,5,8,5,1,1,39,0,1,0,1,11140,5,400,3,4,4,5,7,0,0,0,6,0,1,1,1,-1.0,1,1
7,5,6,13,1,7,1,1,0,2,37,0,0,0,0,11124,11,400,4,4,4,0,6,0,0,0,1,0,1,1,0,-1.0,0,1
7,2,2,17,1,6,1,1,1,1,28,0,0,0,1,1963,5,400,1,4,4,5,4,0,0,0,6,0,1,0,0,-1.0,1,1
9,4,4,0,0,6,5,2,1,1,56,0,6,2,5,114,10,400,2,4,4,0,7,0,0,0,0,0,1,0,0,-1.0,2,1
0,1,1,13,1,1,1,4,1,1,33,0,0,0,0,2590,16,400,3,4,4,1,5,0,0,0,0,0,1,0,0,-1.0,0,1
8,3,3,6,0,7,9,3,1,1,60,0,1,0,1,12214,10,400,2,4,4,5,7,0,0,0,6,0,1,2,1,-1.0,1,1
4,2,1,0,1,6,5,3,1,2,38,0,1,0,5,9162,3,400,4,4,4,3,6,0,0,0,3,0,1,1,1,-1.0,2,1
3,3,5,6,1,5,4,3,1,2,0,0,6,2,5,10117,11,400,1,4,4,0,0,0,0,0,0,0,1,1,0,-1.0,2,1
10,2,4,6,1,5,11,3,1,1,33,0,0,0,1,7181,9,400,2,4,4,1,5,0,0,0,1,0,1,1,0,-1.0,1,1
10,4,1,9,1,6,11,4,0,1,31,0,1,0,1,7461,10,400,1,4,4,3,5,0,0,0,6,0,1,1,1,-1.0,1,1
3,4,1,9,0,7,8,1,1,2,30,0,1,0,1,10393,2,400,3,4,4,3,6,0,0,0,0,0,1,1,1,-1.0,1,1
6,1,6,17,1,5,7,2,1,1,37,0,0,0,5,4173,5,400,2,4,4,3,5,0,0,0,0,0,1,0,0,-1.0,2,1
6,1,6,0,1,1,7,2,1,1,43,0,1,0,3,4146,5,400,3,4,4,1,6,0,0,0,0,0,1,0,1,-1.0,2,1
0,4,4,2,1,1,6,1,1,1,29,0,0,0,2,3033,10,400,1,4,4,5,6,0,0,0,0,0,1,0,0,-1.0,1,1
7,1,6,0,1,6,8,2,1,1,38,0,0,0,2,1683,9,400,2,4,4,3,6,0,0,0,0,0,1,0,0,-1.0,1,1
7,4,2,2,1,5,1,2,1,1,32,0,1,0,1,2339,16,400,1,4,4,1,5,0,0,0,6,0,1,0,1,-1.0,1,1
1,4,3,6,1,1,12,1,1,2,0,0,1,0,5,14249,5,400,2,4,4,0,0,0,0,0,0,0,1,2,1,-1.0,2,1
8,4,2,2,1,7,9,5,1,2,35,0,1,0,1,12519,9,400,3,4,4,1,5,0,0,0,0,0,1,2,1,-1.0,1,1
9,2,2,17,1,6,10,3,1,1,40,1,1,0,1,5050,3,500,4,4,4,1,6,0,0,0,1,2,1,0,1,-1.0,1,1
0,4,1,6,1,6,1,4,1,1,39,0,4,1,5,11808,7,400,4,4,4,0,6,0,0,0,6,0,1,2,1,-1.0,2,1
7,4,4,2,1,7,1,1,1,1,31,0,0,0,1,11023,14,400,4,4,4,1,5,0,0,0,0,0,1,1,0,-1.0,1,1
8,3,1,6,1,7,9,3,1,1,40,0,1,0,2,3741,10,400,1,4,4,3,7,0,0,0,6,0,1,0,1,-1.0,1,1
0,4,2,17,0,6,1,4,0,2,34,0,0,0,1,3088,7,400,1,4,4,1,5,0,0,0,3,4,2,0,0,-1.0,1,1
5,3,2,17,1,2,6,3,0,2,27,0,0,0,0,5113,13,400,4,4,4,1,5,0,0,0,6,0,1,0,0,-1.0,0,1
1,4,5,6,1,6,2,4,1,1,44,0,1,0,2,14763,9,400,3,4,4,1,7,0,0,0,6,0,1,2,1,-1.0,1,0
11,1,5,9,1,6,12,1,0,2,50,0,2,1,1,3077,1,400,3,4,4,3,6,0,0,0,6,0,1,0,2,-1.0,1,0
